#t sim dt measure_data
# t1=1 t2=80.0 dt=79.0
# sim=0.5617740232312566
# len(old_es)=9164
140.0 220.0 0.5127700040755332 (7549, 14722, 9164, 13107)
150.0 230.0 0.5076209410205434 (7660, 15090, 9164, 13586)
160.0 240.0 0.49255725190839694 (7743, 15720, 9164, 14299)
170.0 250.0 0.4830729166666667 (7791, 16128, 9164, 14755)
180.0 260.0 0.48152489050644626 (7806, 16211, 9164, 14853)
190.0 270.0 0.47520135650699447 (7847, 16513, 9164, 15196)
200.0 280.0 0.46794871794871795 (7884, 16848, 9164, 15568)
210.0 290.0 0.4627214782761242 (7913, 17101, 9164, 15850)
220.0 300.0 0.4537010655877828 (7962, 17549, 9164, 16347)
230.0 310.0 0.4460688577646337 (7994, 17921, 9164, 16751)
240.0 320.0 0.4367559928249171 (8035, 18397, 9164, 17268)
250.0 330.0 0.42813990461049284 (8079, 18870, 9164, 17785)
260.0 340.0 0.42032967032967034 (8109, 19292, 9164, 18237)
270.0 350.0 0.4123011449994934 (8138, 19738, 9164, 18712)
280.0 360.0 0.40407091917591126 (8159, 20192, 9164, 19187)
290.0 370.0 0.3947508081246683 (8182, 20727, 9164, 19745)
300.0 380.0 0.378188335861023 (8229, 21759, 9164, 20824)
310.0 390.0 0.3718658564033311 (8261, 22215, 9164, 21312)
320.0 400.0 0.35772603568188693 (8281, 23149, 9164, 22266)
330.0 410.0 0.34593132154006245 (8311, 24025, 9164, 23172)
340.0 420.0 0.3444439849468591 (8329, 24181, 9164, 23346)
350.0 430.0 0.33820966892247845 (8346, 24677, 9164, 23859)
360.0 440.0 0.3325113356137141 (8360, 25142, 9164, 24338)
370.0 450.0 0.32781366216480723 (8374, 25545, 9164, 24755)
380.0 460.0 0.32263766667947585 (8396, 26023, 9164, 25255)
390.0 470.0 0.31703273932863657 (8415, 26543, 9164, 25794)
400.0 480.0 0.3133134994421718 (8425, 26890, 9164, 26151)
410.0 490.0 0.30734512630123023 (8444, 27474, 9164, 26754)
420.0 500.0 0.30391839959774447 (8462, 27843, 9164, 27141)
430.0 510.0 0.29973127784456544 (8477, 28282, 9164, 27595)
440.0 520.0 0.29537069265576055 (8486, 28730, 9164, 28052)
450.0 530.0 0.290144115839082 (8496, 29282, 9164, 28614)
460.0 540.0 0.28662420382165604 (8505, 29673, 9164, 29014)
470.0 550.0 0.282626021119745 (8511, 30114, 9164, 29461)
480.0 560.0 0.27790284166911355 (8518, 30651, 9164, 30005)
490.0 570.0 0.2746757635246034 (8535, 31073, 9164, 30444)
500.0 580.0 0.26988187732929064 (8545, 31662, 9164, 31043)
510.0 590.0 0.26699984382320785 (8548, 32015, 9164, 31399)

# t1=158.0 t2=213.0 dt=55.0
# sim=0.5350538988118656
# len(old_es)=9486
1.0 159.0 0.102156414588095 (1028, 10063, 10023, 1068)
2.0 160.0 0.16520539848290808 (1677, 10151, 10023, 1805)
3.0 161.0 0.20938663531256124 (2137, 10206, 10023, 2320)
4.0 162.0 0.2096600372293524 (2140, 10207, 10023, 2324)
5.0 163.0 0.21054178504947585 (2149, 10207, 10023, 2333)
6.0 164.0 0.26669907632474477 (2743, 10285, 10023, 3005)
7.0 165.0 0.30827939329533377 (3191, 10351, 10023, 3519)
8.0 166.0 0.33675525280629376 (3510, 10423, 10023, 3910)
9.0 167.0 0.3588453138353433 (3779, 10531, 10023, 4287)
10.0 168.0 0.3825768254863265 (4071, 10641, 10023, 4689)
11.0 169.0 0.3827948910593539 (4076, 10648, 10023, 4701)
12.0 170.0 0.38328638497652584 (4082, 10650, 10023, 4709)
13.0 171.0 0.3908153701968135 (4170, 10670, 10023, 4817)
14.0 172.0 0.41029220174948816 (4409, 10746, 10023, 5132)
15.0 173.0 0.42428992991516046 (4601, 10844, 10023, 5422)
16.0 174.0 0.43249886208466093 (4751, 10985, 10023, 5713)
17.0 175.0 0.441566645609602 (4893, 11081, 10023, 5951)
18.0 176.0 0.44167794316644116 (4896, 11085, 10023, 5958)
19.0 177.0 0.4419799837706248 (4902, 11091, 10023, 5970)
20.0 178.0 0.45261934561058464 (5063, 11186, 10023, 6226)
21.0 179.0 0.458476442095993 (5206, 11355, 10023, 6538)
22.0 180.0 0.4662345624945257 (5323, 11417, 10023, 6717)
23.0 181.0 0.4734135285913529 (5431, 11472, 10023, 6880)
24.0 182.0 0.47892454466608847 (5522, 11530, 10023, 7029)
25.0 183.0 0.4790600884418625 (5525, 11533, 10023, 7035)
26.0 184.0 0.4787316988651131 (5526, 11543, 10023, 7046)
27.0 185.0 0.4810583283223091 (5600, 11641, 10023, 7218)
28.0 186.0 0.4887024991441287 (5710, 11684, 10023, 7371)
29.0 187.0 0.4930620583978888 (5792, 11747, 10023, 7516)
30.0 188.0 0.4972872160054256 (5866, 11796, 10023, 7639)
31.0 189.0 0.5017286449110381 (5950, 11859, 10023, 7786)
32.0 190.0 0.5017286449110381 (5950, 11859, 10023, 7786)
33.0 191.0 0.5016863406408094 (5950, 11860, 10023, 7787)
34.0 192.0 0.5087306917394224 (6060, 11912, 10023, 7949)
35.0 193.0 0.5129274395329442 (6150, 11990, 10023, 8117)
36.0 194.0 0.5156042496679947 (6212, 12048, 10023, 8237)
37.0 195.0 0.5153903592466605 (6212, 12053, 10023, 8242)
38.0 196.0 0.516022190941459 (6232, 12077, 10023, 8286)
39.0 197.0 0.515979466799139 (6232, 12078, 10023, 8287)
40.0 198.0 0.515936749730938 (6232, 12079, 10023, 8288)
41.0 199.0 0.5190342781806196 (6299, 12136, 10023, 8412)
42.0 200.0 0.5210840907230001 (6364, 12213, 10023, 8554)
43.0 201.0 0.5241008074382187 (6426, 12261, 10023, 8664)
44.0 202.0 0.5265037746570338 (6486, 12319, 10023, 8782)
45.0 203.0 0.5301769411004282 (6562, 12377, 10023, 8916)
46.0 204.0 0.5302577361234548 (6563, 12377, 10023, 8917)
47.0 205.0 0.5302956858943286 (6564, 12378, 10023, 8919)
48.0 206.0 0.5301477116797159 (6568, 12389, 10023, 8934)
49.0 207.0 0.53154599454166 (6622, 12458, 10023, 9057)
50.0 208.0 0.5318741012941365 (6658, 12518, 10023, 9153)
51.0 209.0 0.5333916361901733 (6709, 12578, 10023, 9264)
52.0 210.0 0.5341349576773989 (6752, 12641, 10023, 9370)
53.0 211.0 0.534092706850182 (6752, 12642, 10023, 9371)
54.0 212.0 0.534171808258187 (6753, 12642, 10023, 9372)
55.0 213.0 0.5350538988118656 (6800, 12709, 10023, 9486)
56.0 214.0 0.5344652218136297 (6831, 12781, 10023, 9589)
57.0 215.0 0.534733566705562 (6874, 12855, 10023, 9706)
58.0 216.0 0.5321412054878989 (6904, 12974, 10023, 9855)
59.0 217.0 0.5329088677508438 (6947, 13036, 10023, 9960)
60.0 218.0 0.5329088677508438 (6947, 13036, 10023, 9960)
61.0 219.0 0.5329855783982816 (6948, 13036, 10023, 9961)
62.0 220.0 0.5322346837567712 (6976, 13107, 10023, 10060)
63.0 221.0 0.532543479911901 (7012, 13167, 10023, 10156)
64.0 222.0 0.5338431253785585 (7051, 13208, 10023, 10236)
65.0 223.0 0.5342186674715159 (7080, 13253, 10023, 10310)
66.0 224.0 0.534084084084084 (7114, 13320, 10023, 10411)
67.0 225.0 0.534084084084084 (7114, 13320, 10023, 10411)
68.0 226.0 0.5341591591591591 (7115, 13320, 10023, 10412)
69.0 227.0 0.5332038544856951 (7138, 13387, 10023, 10502)
70.0 228.0 0.5335118649111061 (7172, 13443, 10023, 10592)
71.0 229.0 0.5313377679231338 (7189, 13530, 10023, 10696)
72.0 230.0 0.5314294126306492 (7220, 13586, 10023, 10783)
73.0 231.0 0.5313117996044825 (7254, 13653, 10023, 10884)
74.0 232.0 0.533650677407543 (7287, 13655, 10023, 10919)
75.0 233.0 0.5337531117293893 (7290, 13658, 10023, 10925)
76.0 234.0 0.5335650662611341 (7368, 13809, 10023, 11154)
77.0 235.0 0.5329694009481396 (7420, 13922, 10023, 11319)
78.0 236.0 0.5321270836301467 (7470, 14038, 10023, 11485)
79.0 237.0 0.5305806087936866 (7530, 14192, 10023, 11699)
80.0 238.0 0.5295270081164287 (7568, 14292, 10023, 11837)
81.0 239.0 0.5294899601203387 (7568, 14293, 10023, 11838)
82.0 240.0 0.5295475208056507 (7572, 14299, 10023, 11848)
83.0 241.0 0.530977130977131 (7662, 14430, 10023, 12069)
84.0 242.0 0.5289461003648379 (7684, 14527, 10023, 12188)
85.0 243.0 0.5292709615647654 (7739, 14622, 10023, 12338)
86.0 244.0 0.5293395196506551 (7758, 14656, 10023, 12391)
87.0 245.0 0.5280837753297973 (7766, 14706, 10023, 12449)
88.0 246.0 0.5280837753297973 (7766, 14706, 10023, 12449)
89.0 247.0 0.5280837753297973 (7766, 14706, 10023, 12449)
90.0 248.0 0.5284724109812449 (7777, 14716, 10023, 12470)
91.0 249.0 0.5284773606679791 (7785, 14731, 10023, 12493)
92.0 250.0 0.5278210776008133 (7788, 14755, 10023, 12520)
93.0 251.0 0.5280693438071375 (7798, 14767, 10023, 12542)
94.0 252.0 0.5277401894451962 (7800, 14780, 10023, 12557)
95.0 253.0 0.5277044854881267 (7800, 14781, 10023, 12558)
96.0 254.0 0.5277721399093431 (7801, 14781, 10023, 12559)
97.0 255.0 0.5279524099236125 (7810, 14793, 10023, 12580)
98.0 256.0 0.5276558384547849 (7813, 14807, 10023, 12597)
99.0 257.0 0.5272457512813596 (7818, 14828, 10023, 12623)
100.0 258.0 0.5268795472918351 (7821, 14844, 10023, 12642)
110.0 268.0 0.5232789494627935 (7890, 15078, 10023, 12945)
120.0 278.0 0.5176242737249839 (8018, 15490, 10023, 13485)
130.0 288.0 0.513677811550152 (8112, 15792, 10023, 13881)
140.0 298.0 0.5043981054315064 (8200, 16257, 10023, 14434)
150.0 308.0 0.4947450137346232 (8285, 16746, 10023, 15008)
160.0 318.0 0.4863509099393374 (8338, 17144, 10023, 15459)
170.0 328.0 0.4756903269523971 (8424, 17709, 10023, 16110)
180.0 338.0 0.4668395497682631 (8461, 18124, 10023, 16562)
190.0 348.0 0.4583691910499139 (8522, 18592, 10023, 17091)
200.0 358.0 0.4485590250536116 (8576, 19119, 10023, 17672)
210.0 368.0 0.441171966719412 (8643, 19591, 10023, 18211)
220.0 378.0 0.4187397944481798 (8719, 20822, 10023, 19518)
230.0 388.0 0.41428029584676657 (8738, 21092, 10023, 19807)
240.0 398.0 0.4036208243348803 (8784, 21763, 10023, 20524)
250.0 408.0 0.3802166501229986 (8810, 23171, 10023, 21958)
